"v1";"v1_classe";"v2";"v2_classe";"data$asso";"link_genus"
"Navicula";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,0720235487611844;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";0,117453684300731;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Meuniera";"Bacillariophyceae";0,160155404899432;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Protoperidinium";"Dinophyceae";0,203640031876383;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Cerataulina";"Bacillariophyceae";0,0773988060996678;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,179827173871493;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Diploneis";"Bacillariophyceae";0,195029269350449;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Gymnodinium";"Dinophyceae";0,151992591869864;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Euglenoidea";"Euglenozoa";0,0904818828177459;"Bacillariophyceae-Euglenozoa"
"Navicula";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,21808397795159;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Helicotheca";"Bacillariophyceae";0,0740349989222734;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Dictyocha";"Dictyochophyceae";0,186553181305432;"Bacillariophyceae-Dictyochophyceae"
"Navicula";"Bacillariophyceae";"Katodinium";"Dinophyceae";0,222769871761203;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Torodinium";"Dinophyceae";0,124928704723654;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Ciliophora.x";"Ciliophora";0,215904691274509;"Bacillariophyceae-Ciliophora"
"Navicula";"Bacillariophyceae";"Heterocapsa";"Dinophyceae";0,092880870156577;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Amphidinium";"Dinophyceae";0,158543929351023;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,185603667093781;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";0,414184913941601;"Bacillariophyceae-Cryptophyceae"
"Navicula";"Bacillariophyceae";"Chlorophyceae";"Chlorophyta";0,073254174302497;"Bacillariophyceae-Chlorophyta"
"Navicula";"Bacillariophyceae";"Licmophora";"Bacillariophyceae";0,074204568897234;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Polykrikos";"Dinophyceae";0,115158915169945;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,174267860633451;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Karlodinium";"Dinophyceae";0,124778229739117;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Delphineis";"Bacillariophyceae";0,338197286792853;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Eutreptiella";"Euglenozoa";0,357660431981074;"Bacillariophyceae-Euglenozoa"
