"v1";"v1_classe";"v2";"v2_classe";"data_edge$asso";"link_genus";"Sign"
"Coscinodiscus";"Bacillariophyceae";"Licmophora";"Bacillariophyceae";0,0709423959088655;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Dinoflagellata.x";"Dinophyceae";-0,0918530710932938;"Bacillariophyceae-Dinophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,15110915212;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Delphineis";"Bacillariophyceae";0,131442391427243;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Eutreptiella";"Euglenozoa";0,0863388591769676;"Bacillariophyceae-Euglenozoa";"+"
"Coscinodiscus";"Bacillariophyceae";"Naviculaceae";"Bacillariophyceae";-0,090517670750328;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,116681783825776;"Bacillariophyceae-Dinophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Euglenaceae";"Euglenozoa";-0,0964822286091497;"Bacillariophyceae-Euglenozoa";"-"
"Coscinodiscus";"Bacillariophyceae";"Euglenia";"Euglenozoa";0,0655823488847964;"Bacillariophyceae-Euglenozoa";"+"
"Dinophysis";"Dinophyceae";"Ditylum";"Bacillariophyceae";0,117750752794894;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Navicula";"Bacillariophyceae";-0,109477286933035;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Paralia";"Bacillariophyceae";-0,249190511286728;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Thalassiosira";"Bacillariophyceae";-0,126330942137556;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Asterionella";"Bacillariophyceae";-0,0560750963970642;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Bacillaria";"Bacillariophyceae";-0,0650871027869583;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Biddulphia";"Bacillariophyceae";-0,192380822910946;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Chaetoceros";"Bacillariophyceae";0,198757163561422;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Guinardia";"Bacillariophyceae";0,050091740860262;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Melosira";"Bacillariophyceae";0,0857948054443697;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Odontella";"Bacillariophyceae";-0,0964433950318035;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Prorocentrum";"Dinophyceae";0,398744884560884;"Dinophyceae-Dinophyceae";"+"
