"v1_classe";"v2_classe";"Sign";"Number";"Frequence";"link_genus";"region"
"Dinophyceae";"Khakista";"+";24;0,00506115563053564;"Dinophyceae-Khakista";"3-Atlantic - Western Channel"
"Autres protistes";"Bacillariophyceae";"+";22;0,00463939266132434;"Autres protistes-Bacillariophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chromista";"+";22;0,00463939266132434;"Bacillariophyceae-Chromista";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Haptophyta";"+";22;0,00463939266132434;"Bacillariophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Cryptophyceae";"Dinophyceae";"-";16;0,00337410375369043;"Cryptophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Haptophyta";"-";14;0,00295234078447912;"Bacillariophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Chlorophyta";"Dinophyceae";"-";14;0,00295234078447912;"Chlorophyta-Dinophyceae";"3-Atlantic - Western Channel"
"Chrysophyceae";"Dinophyceae";"+";14;0,00295234078447912;"Chrysophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Ciliophora";"Euglenozoa";"-";14;0,00295234078447912;"Ciliophora-Euglenozoa";"3-Atlantic - Western Channel"
"Ciliophora";"Dinophyceae";"-";13;0,00274145929987347;"Ciliophora-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chrysophyceae";"+";11;0,00231969633066217;"Bacillariophyceae-Chrysophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Dictyochophyceae";"-";11;0,00231969633066217;"Bacillariophyceae-Dictyochophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Raphidophyceae";"-";10;0,00210881484605652;"Bacillariophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Euglenozoa";"Euglenozoa";"-";10;0,00210881484605652;"Euglenozoa-Euglenozoa";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Khakista";"-";8;0,00168705187684521;"Bacillariophyceae-Khakista";"3-Atlantic - Western Channel"
"Chromista";"Dinophyceae";"-";8;0,00168705187684521;"Chromista-Dinophyceae";"3-Atlantic - Western Channel"
"Dinophyceae";"Haptophyta";"+";7;0,00147617039223956;"Dinophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Autres protistes";"Dinophyceae";"+";6;0,00126528890763391;"Autres protistes-Dinophyceae";"3-Atlantic - Western Channel"
"Autres protistes";"Dinophyceae";"-";6;0,00126528890763391;"Autres protistes-Dinophyceae";"3-Atlantic - Western Channel"
"Bacillariophyceae";"Chromista";"-";6;0,00126528890763391;"Bacillariophyceae-Chromista";"3-Atlantic - Western Channel"
"Chlorophyta";"Euglenozoa";"+";6;0,00126528890763391;"Chlorophyta-Euglenozoa";"3-Atlantic - Western Channel"
"Chlorophyta";"Euglenozoa";"-";6;0,00126528890763391;"Chlorophyta-Euglenozoa";"3-Atlantic - Western Channel"
"Ciliophora";"Euglenozoa";"+";6;0,00126528890763391;"Ciliophora-Euglenozoa";"3-Atlantic - Western Channel"
"Cryptophyceae";"Euglenozoa";"-";6;0,00126528890763391;"Cryptophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Dinophyceae";"Khakista";"-";6;0,00126528890763391;"Dinophyceae-Khakista";"3-Atlantic - Western Channel"
"Chlorophyta";"Ciliophora";"+";5;0,00105440742302826;"Chlorophyta-Ciliophora";"3-Atlantic - Western Channel"
"Chromista";"Dinophyceae";"+";5;0,00105440742302826;"Chromista-Dinophyceae";"3-Atlantic - Western Channel"
"Ciliophora";"Cryptophyceae";"+";5;0,00105440742302826;"Ciliophora-Cryptophyceae";"3-Atlantic - Western Channel"
"Cryptophyceae";"Euglenozoa";"+";5;0,00105440742302826;"Cryptophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Autres protistes";"Bacillariophyceae";"-";4;0,000843525938422606;"Autres protistes-Bacillariophyceae";"3-Atlantic - Western Channel"
"Autres protistes";"Euglenozoa";"-";4;0,000843525938422606;"Autres protistes-Euglenozoa";"3-Atlantic - Western Channel"
"Chlorophyta";"Ciliophora";"-";4;0,000843525938422606;"Chlorophyta-Ciliophora";"3-Atlantic - Western Channel"
"Ciliophora";"Ciliophora";"+";4;0,000843525938422606;"Ciliophora-Ciliophora";"3-Atlantic - Western Channel"
"Ciliophora";"Dictyochophyceae";"+";4;0,000843525938422606;"Ciliophora-Dictyochophyceae";"3-Atlantic - Western Channel"
"Ciliophora";"Khakista";"+";4;0,000843525938422606;"Ciliophora-Khakista";"3-Atlantic - Western Channel"
"Ciliophora";"Raphidophyceae";"+";4;0,000843525938422606;"Ciliophora-Raphidophyceae";"3-Atlantic - Western Channel"
"Euglenozoa";"Haptophyta";"-";4;0,000843525938422606;"Euglenozoa-Haptophyta";"3-Atlantic - Western Channel"
"Chlorophyta";"Chlorophyta";"+";3;0,000632644453816955;"Chlorophyta-Chlorophyta";"3-Atlantic - Western Channel"
"Chlorophyta";"Chromista";"+";3;0,000632644453816955;"Chlorophyta-Chromista";"3-Atlantic - Western Channel"
"Chlorophyta";"Cryptophyceae";"+";3;0,000632644453816955;"Chlorophyta-Cryptophyceae";"3-Atlantic - Western Channel"
"Chlorophyta";"Cryptophyceae";"-";3;0,000632644453816955;"Chlorophyta-Cryptophyceae";"3-Atlantic - Western Channel"
"Chromista";"Euglenozoa";"-";3;0,000632644453816955;"Chromista-Euglenozoa";"3-Atlantic - Western Channel"
"Dinophyceae";"Haptophyta";"-";3;0,000632644453816955;"Dinophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Dinophyceae";"Raphidophyceae";"-";3;0,000632644453816955;"Dinophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Euglenozoa";"Khakista";"-";3;0,000632644453816955;"Euglenozoa-Khakista";"3-Atlantic - Western Channel"
"Euglenozoa";"Raphidophyceae";"-";3;0,000632644453816955;"Euglenozoa-Raphidophyceae";"3-Atlantic - Western Channel"
"Autres protistes";"Ciliophora";"-";2;0,000421762969211303;"Autres protistes-Ciliophora";"3-Atlantic - Western Channel"
"Chlorophyta";"Haptophyta";"-";2;0,000421762969211303;"Chlorophyta-Haptophyta";"3-Atlantic - Western Channel"
"Chlorophyta";"Khakista";"-";2;0,000421762969211303;"Chlorophyta-Khakista";"3-Atlantic - Western Channel"
"Chrysophyceae";"Dinophyceae";"-";2;0,000421762969211303;"Chrysophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Ciliophora";"Cryptophyceae";"-";2;0,000421762969211303;"Ciliophora-Cryptophyceae";"3-Atlantic - Western Channel"
"Cryptophyceae";"Dictyochophyceae";"+";2;0,000421762969211303;"Cryptophyceae-Dictyochophyceae";"3-Atlantic - Western Channel"
"Cryptophyceae";"Haptophyta";"-";2;0,000421762969211303;"Cryptophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Euglenozoa";"+";2;0,000421762969211303;"Dictyochophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Euglenozoa";"Haptophyta";"+";2;0,000421762969211303;"Euglenozoa-Haptophyta";"3-Atlantic - Western Channel"
"Euglenozoa";"Khakista";"+";2;0,000421762969211303;"Euglenozoa-Khakista";"3-Atlantic - Western Channel"
"Euglenozoa";"Raphidophyceae";"+";2;0,000421762969211303;"Euglenozoa-Raphidophyceae";"3-Atlantic - Western Channel"
"Autres protistes";"Chlorophyta";"+";1;0,000210881484605652;"Autres protistes-Chlorophyta";"3-Atlantic - Western Channel"
"Autres protistes";"Ciliophora";"+";1;0,000210881484605652;"Autres protistes-Ciliophora";"3-Atlantic - Western Channel"
"Autres protistes";"Euglenozoa";"+";1;0,000210881484605652;"Autres protistes-Euglenozoa";"3-Atlantic - Western Channel"
"Chlorophyta";"Chrysophyceae";"-";1;0,000210881484605652;"Chlorophyta-Chrysophyceae";"3-Atlantic - Western Channel"
"Chlorophyta";"Dictyochophyceae";"+";1;0,000210881484605652;"Chlorophyta-Dictyochophyceae";"3-Atlantic - Western Channel"
"Chromista";"Ciliophora";"+";1;0,000210881484605652;"Chromista-Ciliophora";"3-Atlantic - Western Channel"
"Chromista";"Cryptophyceae";"-";1;0,000210881484605652;"Chromista-Cryptophyceae";"3-Atlantic - Western Channel"
"Chromista";"Euglenozoa";"+";1;0,000210881484605652;"Chromista-Euglenozoa";"3-Atlantic - Western Channel"
"Chrysophyceae";"Ciliophora";"-";1;0,000210881484605652;"Chrysophyceae-Ciliophora";"3-Atlantic - Western Channel"
"Chrysophyceae";"Cryptophyceae";"-";1;0,000210881484605652;"Chrysophyceae-Cryptophyceae";"3-Atlantic - Western Channel"
"Chrysophyceae";"Euglenozoa";"+";1;0,000210881484605652;"Chrysophyceae-Euglenozoa";"3-Atlantic - Western Channel"
"Ciliophora";"Haptophyta";"-";1;0,000210881484605652;"Ciliophora-Haptophyta";"3-Atlantic - Western Channel"
"Cryptophyceae";"Cryptophyceae";"-";1;0,000210881484605652;"Cryptophyceae-Cryptophyceae";"3-Atlantic - Western Channel"
"Cryptophyceae";"Khakista";"+";1;0,000210881484605652;"Cryptophyceae-Khakista";"3-Atlantic - Western Channel"
"Cryptophyceae";"Khakista";"-";1;0,000210881484605652;"Cryptophyceae-Khakista";"3-Atlantic - Western Channel"
"Cryptophyceae";"Raphidophyceae";"+";1;0,000210881484605652;"Cryptophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Cryptophyceae";"Raphidophyceae";"-";1;0,000210881484605652;"Cryptophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Dinophyceae";"-";1;0,000210881484605652;"Dictyochophyceae-Dinophyceae";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Haptophyta";"-";1;0,000210881484605652;"Dictyochophyceae-Haptophyta";"3-Atlantic - Western Channel"
"Dictyochophyceae";"Raphidophyceae";"+";1;0,000210881484605652;"Dictyochophyceae-Raphidophyceae";"3-Atlantic - Western Channel"
"Euglenozoa";"Euglenozoa";"+";1;0,000210881484605652;"Euglenozoa-Euglenozoa";"3-Atlantic - Western Channel"
"Haptophyta";"Khakista";"+";1;0,000210881484605652;"Haptophyta-Khakista";"3-Atlantic - Western Channel"
"Khakista";"Raphidophyceae";"+";1;0,000210881484605652;"Khakista-Raphidophyceae";"3-Atlantic - Western Channel"
