"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"N_bac";"P_bac";"N_dino";"P_dino";"N_autres";"P_autres";"N_BacBac";"P_BacBac";"N_BacDino";"P_BacDino";"N_DinoDino";"P_DinoDino";"N_AAutres";"P_AAutres";"PP_BacBac";"PP_BacDino";"PP_DinoDino";"PP_AAutres"
"Géfosse";2009-04-01;16;58;3,625;0,483333333333333;0,130726887049271;5;0,275713436385256;7,25;-0,0644250513347039;0,849131557372268;0,6;4,10344827586207;0,086845913462411;2;11;0,6875;3;0,1875;2;0,125;31;0,53448275862069;11;0,189655172413793;3;0,0517241379310345;13;0,224137931034483;0,548108118744649;0,16806948241458;0,112281085956227;0,171541312884543
"Géfosse";2009-04-14;15;69;4,6;0,657142857142857;0,0938630754796705;3;0,0440033606385212;9,2;-0,0990820734341268;0,853108749174216;0,768;2,73913043478261;0,101954534597439;2;10;0,666666666666667;3;0,2;2;0,133333333333333;29;0,420289855072464;25;0,36231884057971;3;0,0434782608695652;12;0,173913043478261;0,456235602078598;0,348287600594082;0,0969366451902238;0,0985401521370965
"Géfosse";2009-04-28;18;70;3,88888888888889;0,457516339869281;0,139110858986625;2;0,15265306122449;7,77777777777778;0,085984718896111;0,845000724710714;0,625;4,38571428571429;0,0791190433124443;3;11;0,611111111111111;4;0,222222222222222;3;0,166666666666667;23;0,328571428571429;19;0,271428571428571;6;0,0857142857142857;22;0,314285714285714;0,40001133319659;0,218884954160666;0,160737962792629;0,220365749850115
"Géfosse";2009-05-13;19;91;4,78947368421053;0,532163742690059;0,116914564316829;3;0,13476633256853;9,57894736842105;0,1413490284006;0,840172606507072;0,696796338672769;3,61538461538462;0,0837074982222437;3;14;0,736842105263158;2;0,105263157894737;3;0,157894736842105;52;0,571428571428571;12;0,131868131868132;1;0,010989010989011;26;0,285714285714286;0,69965397342457;0,0859375787930091;0,0103216285279316;0,204086819254489
"Géfosse";2009-05-27;16;68;4,25;0,566666666666667;0,120841707616285;4;0,13538062283737;8,5;-0,176639020537124;0,825733816138504;0,690721649484536;3,82352941176471;0,0974559868162735;3;9;0,5625;4;0,25;3;0,1875;25;0,367647058823529;19;0,279411764705882;6;0,0882352941176471;18;0,264705882352941;0,442645426539852;0,199932686016597;0,0958464847297498;0,261575402713801
"Géfosse";2009-06-23;14;67;4,78571428571429;0,736263736263736;0,1764753616737;0;0,00568055246157276;9,57142857142857;-0,228552717747218;0,751050524199543;0,875981161695447;2,08955223880597;0,150081390812377;3;8;0,571428571428571;6;0,428571428571429;0;0;19;0,283582089552239;34;0,507462686567164;14;0,208955223880597;0;0;0,40314599655831;0,353532374908795;0,243321628532895;0
"Géfosse";2009-07-07;15;92;6,13333333333333;0,876190476190476;0,11971322028446;8;0,0297140831758035;12,2666666666667;-0,162693156732892;0,822309860080829;0,894886363636364;2,1304347826087;0,121814090272552;2;7;0,466666666666667;7;0,466666666666667;1;0,0666666666666667;21;0,228260869565217;42;0,456521739130435;21;0,228260869565217;8;0,0869565217391304;0,263037488225776;0,394438492054395;0,277465236897269;0,06505878282256
"Géfosse";2009-08-07;13;48;3,69230769230769;0,615384615384615;0,120934754343035;1;0,0206163194444445;7,38461538461539;-0,0276538804638739;0,824350557075552;0,756446991404012;3,125;0,121543856882227;2;9;0,692307692307692;2;0,153846153846154;2;0,153846153846154;22;0,458333333333333;12;0,25;1;0,0208333333333333;13;0,270833333333333;0,611730603818581;0,203059243541954;0,0144274974031472;0,170782655236318
"Géfosse";2009-08-20;8;14;1,75;0,5;0,182207400199611;2;0,0612244897959184;3,5;-0,633333333333335;0,855577472795048;0,5;3,21428571428571;0,177608143979664;2;5;0,625;2;0,25;1;0,125;3;0,214285714285714;8;0,571428571428571;1;0,0714285714285714;2;0,142857142857143;0,222363460676938;0,5050859025467;0,140925153948289;0,131625482828073
"Géfosse";2009-09-07;22;137;6,22727272727273;0,593073593073593;0,117469928156069;4;0,0677713250572753;12,4545454545455;0,154345323741008;0,805752635577783;0,756027554535017;3,4014598540146;0,0936159996628099;3;14;0,636363636363636;5;0,227272727272727;3;0,136363636363636;47;0,343065693430657;43;0,313868613138686;10;0,072992700729927;37;0,27007299270073;0,400662257320882;0,28407664887669;0,129744631182456;0,185516462619972
"Géfosse";2009-09-23;14;54;3,85714285714286;0,593406593406593;0,153260210049299;0;0,036522633744856;7,71428571428571;-0,0609756097561021;0,782073728553813;0,774647887323944;2,61111111111111;0,124613954289208;4;9;0,642857142857143;5;0,357142857142857;0;0;17;0,314814814814815;27;0,5;10;0,185185185185185;0;0;0,314369301797487;0,380528259410014;0,305102438792499;0
"Géfosse";2009-10-09;17;84;4,94117647058824;0,617647058823529;0,117554129717125;4;0,0415958049886621;9,88235294117647;0,0226855713094215;0,839042734502056;0,742718446601942;3,08333333333333;0,0917677326336059;3;11;0,647058823529412;4;0,235294117647059;2;0,117647058823529;32;0,380952380952381;27;0,321428571428571;6;0,0714285714285714;19;0,226190476190476;0,45273815333056;0,237618259160967;0,0917155033030826;0,217928084205391
"Géfosse";2009-11-05;18;92;5,11111111111111;0,601307189542484;0,126690064807874;4;0,0437145557655955;10,2222222222222;0,0574931422493421;0,827886099910961;0,745243128964059;3,15217391304348;0,0913579548201969;4;10;0,555555555555556;5;0,277777777777778;3;0,166666666666667;23;0,25;28;0,304347826086957;10;0,108695652173913;31;0,33695652173913;0,249163998906564;0,277592616137364;0,202878001021827;0,270365383934245
"Géfosse";2009-12-08;14;41;2,92857142857143;0,450549450549451;0,135538499574812;2;0,310232004759072;5,85714285714286;0,169738339021617;0,791986989155836;0,700440528634361;4,70731707317073;0,114776557349214;2;9;0,642857142857143;4;0,285714285714286;1;0,0714285714285714;15;0,365853658536585;13;0,317073170731707;6;0,146341463414634;7;0,170731707317073;0,22047387294967;0,337710010860704;0,289225117807366;0,152590998382261
"Géfosse";2010-01-20;11;37;3,36363636363636;0,672727272727273;0,105132193609203;3;0,0609934258582907;6,72727272727273;-0,184611412341857;0,87664835719537;0,759825327510917;2,43243243243243;0,127321240437319;3;8;0,727272727272727;0;0;3;0,272727272727273;18;0,486486486486487;0;0;0;0;19;0,513513513513513;0,614514666721942;0;0;0,385485333278058
"Géfosse";2010-02-05;17;78;4,58823529411765;0,573529411764706;0,108178992240344;5;0,0985371466140697;9,17647058823529;-0,0151248680970835;0,87469760535135;0,662790697674419;3,1025641025641;0,0808204737227564;3;12;0,705882352941177;1;0,0588235294117647;4;0,235294117647059;38;0,487179487179487;8;0,102564102564103;0;0;32;0,41025641025641;0,496892169363575;0,123430764007858;0;0,379677066628567
"Géfosse";2010-03-02;7;13;1,85714285714286;0,619047619047619;0,13063088453147;3;0,103550295857988;3,71428571428571;-0,28169014084507;0,879235340033497;0,552631578947368;2,61538461538462;0,205369267976979;2;6;0,857142857142857;0;0;1;0,142857142857143;10;0,769230769230769;0;0;0;0;3;0,230769230769231;0,80782862437805;0;0;0,192171375621949
"Géfosse";2010-04-06;13;47;3,61538461538462;0,602564102564103;0,143239804188928;4;0,116794929832503;7,23076923076923;-0,290176159083541;0,819641715961994;0,639498432601881;3,91489361702128;0,117254451402114;2;9;0,692307692307692;2;0,153846153846154;2;0,153846153846154;20;0,425531914893617;16;0,340425531914894;1;0,0212765957446809;10;0,212765957446809;0,499363737786722;0,283217847782075;0,0396051211309174;0,177813293300286
"Géfosse";2010-04-16;6;9;1,5;0,6;0,166911097850022;2;-0,0802469135802468;3;-0,588235294117649;0,884969094513337;0,545454545454545;2,33333333333333;0,243557695103086;2;4;0,666666666666667;1;0,166666666666667;1;0,166666666666667;3;0,333333333333333;4;0,444444444444444;0;0;2;0,222222222222222;0,367751937390388;0,481978498678653;0;0,150269563930959
"Géfosse";2010-05-18;25;141;5,64;0,47;0,110161646518678;3;0,161737337156079;11,28;-0,0792974234462314;0,853125958590275;0,642985074626866;4,42553191489362;0,0595550501360694;3;19;0,76;5;0,2;1;0,04;82;0,581560283687943;41;0,290780141843972;10;0,0709219858156028;8;0,0567375886524823;0,596476112497511;0,242125022585347;0,134519008879955;0,0268798560371872
"Géfosse";2010-06-01;14;61;4,35714285714286;0,67032967032967;0,154845257309215;3;0,0737704918032788;8,71428571428571;-0,22521367521368;0,778715692944589;0,76878612716763;2,9672131147541;0,132276361281243;3;11;0,785714285714286;3;0,214285714285714;0;0;32;0,524590163934426;26;0,426229508196721;3;0,0491803278688525;0;0;0,585412233838377;0,334723025691219;0,0798647404704042;0
"Géfosse";2010-06-18;17;97;5,70588235294118;0,713235294117647;0,0997105260459492;4;0,0148262302051227;11,4117647058824;-0,200025684565005;0,846586990347584;0,795246800731261;2,47422680412371;0,0945884640280196;3;11;0,647058823529412;4;0,235294117647059;2;0,117647058823529;34;0,350515463917526;34;0,350515463917526;6;0,0618556701030928;23;0,237113402061856;0,396756860227916;0,324211154493174;0,125630312156467;0,153401673122443
"Géfosse";2010-06-30;18;101;5,61111111111111;0,660130718954248;0,118672221981911;4;0,0417606117047348;11,2222222222222;-0,133488828043136;0,803310354188445;0,788511749347259;3,05940594059406;0,111039532278118;3;14;0,777777777777778;4;0,222222222222222;0;0;61;0,603960396039604;35;0,346534653465347;5;0,0495049504950495;0;0;0,644707394292632;0,30254257896293;0,0527500267444381;0
"Géfosse";2010-07-15;22;170;7,72727272727273;0,735930735930736;0,114007994509977;6;0,0566782006920415;15,4545454545455;-0,165622858297881;0,817597385001881;0,806055960137984;2,44117647058824;0,0965136938331053;3;13;0,590909090909091;6;0,272727272727273;3;0,136363636363636;58;0,341176470588235;55;0,323529411764706;14;0,0823529411764706;43;0,252941176470588;0,405158562143752;0,288190279924393;0,123280139613343;0,183371018318512
"Géfosse";2010-07-28;18;100;5,55555555555556;0,65359477124183;0,121506118564786;2;0,07185;11,1111111111111;-0,15088266848727;0,824783569819928;0,776690391459075;2,89;0,0963032445786595;3;13;0,722222222222222;2;0,111111111111111;3;0,166666666666667;49;0,49;19;0,19;1;0,01;31;0,31;0,558079663816554;0,185223659775393;0,027746474166231;0,228950202241822
"Géfosse";2010-08-12;19;98;5,15789473684211;0,573099415204678;0,123240070576323;4;0,112244897959184;10,3157894736842;-0,0875000000000005;0,837790683014648;0,704500978473581;3,31632653061224;0,0842403490574992;3;14;0,736842105263158;2;0,105263157894737;3;0,157894736842105;55;0,561224489795918;13;0,13265306122449;1;0,0102040816326531;29;0,295918367346939;0,648277606084499;0,0969610821204431;0,025473953180672;0,229287358614386
"Géfosse";2010-09-15;16;77;4,8125;0,641666666666667;0,11896675705444;5;0,0684769775678867;9,625;-0,208918452820891;0,841071063136407;0,723140495867769;2,84415584415584;0,0968813899263338;3;12;0,75;2;0,125;2;0,125;44;0,571428571428571;14;0,181818181818182;1;0,012987012987013;18;0,233766233766234;0,618847028464147;0,166916855617167;0,0232840107164344;0,190952105202251
"Géfosse";2010-10-26;9;18;2;0,5;0,125538999417939;3;0,0972222222222223;4;-0,182948490230909;0,905550352359004;0,491803278688525;3,61111111111111;0,150231155849266;2;9;1;0;0;0;0;18;1;0;0;0;0;0;0;1;0;0;0
"Géfosse";2010-11-24;12;40;3,33333333333333;0,606060606060606;0,144339253538653;2;0,0665624999999999;6,66666666666667;-0,181339352896917;0,851725971817369;0,744186046511628;2,95;0,11846692014657;3;8;0,666666666666667;2;0,166666666666667;2;0,166666666666667;20;0,5;6;0,15;1;0,025;13;0,325;0,396950935806594;0,170546693299348;0,0448686637215766;0,387633707172481
"Géfosse";2010-12-10;15;60;4;0,571428571428571;0,118121284030532;4;0,111527777777778;8;-0,0291858678955449;0,862698593415675;0,671052631578947;3,13333333333333;0,0926213748967591;3;10;0,666666666666667;2;0,133333333333333;3;0,2;28;0,466666666666667;9;0,15;1;0,0166666666666667;22;0,366666666666667;0,419565646547691;0,178579423524304;0,0432612405790023;0,358593689349003
"Géfosse";2011-02-08;11;25;2,27272727272727;0,454545454545455;0,161110509430028;2;0,1896;4,54545454545455;0,105584642233857;0,868707866488198;0,617647058823529;4,48;0,124588223867684;3;10;0,909090909090909;1;0,0909090909090909;0;0;23;0,92;2;0,08;0;0;0;0;0,930146389319871;0,0698536106801285;0;0
"Géfosse";2011-03-08;17;81;4,76470588235294;0,595588235294118;0,117269908660597;5;0,10745313214449;9,52941176470588;-0,123579289193576;0,856621278504502;0,715415019762846;3,11111111111111;0,0846114417740527;3;12;0,705882352941177;3;0,176470588235294;2;0,117647058823529;37;0,45679012345679;22;0,271604938271605;3;0,037037037037037;19;0,234567901234568;0,459812704239702;0,240861866049113;0,0842454638595053;0,21507996585168
"Géfosse";2011-03-23;19;93;4,89473684210526;0,543859649122807;0,11913700141475;5;0,141981731992138;9,78947368421053;0,105228434768262;0,851387036477096;0,631944444444444;3,37634408602151;0,0761987933368218;3;12;0,631578947368421;3;0,157894736842105;4;0,210526315789474;36;0,387096774193548;19;0,204301075268817;3;0,032258064516129;35;0,376344086021505;0,439891366939781;0,188599213702595;0,0532663803511563;0,318243039006468
"Géfosse";2011-04-05;14;50;3,57142857142857;0,549450549450549;0,118619574013545;3;0,1038;7,14285714285714;-0,298328670827057;0,847935176633488;0,605187319884726;3,36;0,103149696834019;3;11;0,785714285714286;2;0,142857142857143;1;0,0714285714285714;32;0,64;11;0,22;1;0,02;6;0,12;0,669971001768297;0,128320252554976;0,0532597902102105;0,148448955466516
"Géfosse";2011-05-09;20;84;4,2;0,442105263157895;0,145325756451855;3;0,147463151927438;8,4;0,165194346289752;0,825287812504225;0,654986522911051;4,84523809523809;0,0766413825989634;3;14;0,7;3;0,15;3;0,15;37;0,44047619047619;20;0,238095238095238;3;0,0357142857142857;24;0,285714285714286;0,577798351599507;0,145873051053192;0,0457317352919258;0,230596862055375
"Géfosse";2011-06-07;20;124;6,2;0,652631578947368;0,133405544335938;4;0,0745317377731529;12,4;-0,0704946808842912;0,789366983787575;0,771760154738878;3,19354838709677;0,104354628605036;3;12;0,6;6;0,3;2;0,1;42;0,338709677419355;45;0,362903225806452;15;0,120967741935484;22;0,17741935483871;0,39575603767171;0,279517976982549;0,177710138017007;0,147015847328734
"Géfosse";2011-07-05;15;67;4,46666666666667;0,638095238095238;0,131480803778411;2;0,0329694809534418;8,93333333333333;-0,144923735850711;0,78419988839419;0,807504078303426;3,26865671641791;0,128942915289298;2;13;0,866666666666667;1;0,0666666666666667;1;0,0666666666666667;53;0,791044776119403;12;0,17910447761194;0;0;2;0,0298507462686567;0,832458975112355;0,162965216302066;0;0,00457580858557977
"Géfosse";2011-08-02;18;98;5,44444444444444;0,640522875816994;0,10791225834012;6;0,0699187838400667;10,8888888888889;-0,201205560091526;0,832327900695666;0,728045325779037;2,88775510204082;0,0932841811363547;2;14;0,777777777777778;2;0,111111111111111;2;0,111111111111111;62;0,63265306122449;18;0,183673469387755;1;0,0102040816326531;17;0,173469387755102;0,666694760247655;0,176168007971782;0,00692907055395054;0,150208161226613
"Géfosse";2011-09-09;24;165;6,875;0,597826086956522;0,103116459936621;8;0,0843526170798898;13,75;-0,0603674463131249;0,84779862549887;0,693021201413428;3,17575757575758;0,0708401254996174;3;19;0,791666666666667;3;0,125;2;0,0833333333333333;108;0,654545454545455;28;0,16969696969697;3;0,0181818181818182;26;0,157575757575758;0,709836028546924;0,118751675550135;0,0226168361469994;0,148795459755941
"Géfosse";2011-10-12;20;109;5,45;0,573684210526316;0,110307335726538;5;0,12810369497517;10,9;-0,166556360877497;0,832958067571429;0,674810446503791;3,23853211009174;0,0846480487576587;3;18;0,9;1;0,05;1;0,05;91;0,834862385321101;8;0,073394495412844;0;0;10;0,0917431192660551;0,874750413975818;0,0471881322395551;0;0,0780614537846267
"Géfosse";2011-11-15;10;21;2,1;0,466666666666667;0,28730183034067;2;0,352607709750567;4,2;-0,060606060606063;0,748860846394987;0,666666666666667;4,52380952380952;0,16135755187518;2;10;1;0;0;0;0;21;1;0;0;0;0;0;0;1;0;0;0
"Géfosse";2011-12-19;12;36;3;0,545454545454545;0,111462477377759;4;0,130787037037037;6;-0,196218848467488;0,849259779167085;0,578680203045685;3,52777777777778;0,119323051235003;3;11;0,916666666666667;1;0,0833333333333333;0;0;29;0,805555555555556;7;0,194444444444444;0;0;0;0;0,753828649111835;0,246171350888165;0;0
"Géfosse";2012-01-11;6;9;1,5;0,6;0,121841380957846;2;0;3;-0,0800000000000005;0,906707533189554;0,6;2,55555555555556;0,241643361864208;2;6;1;0;0;0;0;9;1;0;0;0;0;0;0;1;0;0;0
"Géfosse";2012-02-23;13;43;3,30769230769231;0,551282051282051;0,107181359825819;5;0,180097349918875;6,61538461538461;-0,0318080357142747;0,862243733134392;0,604838709677419;3,55813953488372;0,106455476284992;3;11;0,846153846153846;1;0,0769230769230769;1;0,0769230769230769;32;0,744186046511628;5;0,116279069767442;0;0;6;0,13953488372093;0,753268320662248;0,126001500635788;0;0,120730178701965
"Géfosse";2012-03-01;8;20;2,5;0,714285714285714;0,241914186080127;2;0,0549999999999998;5;-0,187050359712234;0,716404495872896;0,818181818181818;2,9;0,231578313482046;2;7;0,875;1;0,125;0;0;14;0,7;6;0,3;0;0;0;0;0,740967614126092;0,259032385873908;0;0
"Géfosse";2012-04-11;16;67;4,1875;0,558333333333333;0,119708706465911;4;0,11249721541546;8,375;0,016134880348078;0,860974468187141;0,696914700544465;3,47761194029851;0,088387350645691;3;14;0,875;1;0,0625;1;0,0625;53;0,791044776119403;7;0,104477611940299;0;0;7;0,104477611940299;0,805717354208445;0,0836675620839367;0;0,110615083707618
"Géfosse";2012-05-09;11;30;2,72727272727273;0,545454545454545;0,115266631983616;2;0,126111111111111;5,45454545454545;-0,0745162618361436;0,891837647514283;0,675496688741722;3,4;0,12246809591913;3;10;0,909090909090909;0;0;1;0,0909090909090909;25;0,833333333333333;0;0;0;0;5;0,166666666666667;0,900788319940504;0;0;0,0992116800594959
"Géfosse";2012-05-23;17;90;5,29411764705882;0,661764705882353;0,104355020093296;5;0,110123456790123;10,5882352941176;-0,0257190330205204;0,843121434394126;0,765539803707743;2,92222222222222;0,09549107194208;2;16;0,941176470588235;1;0,0588235294117647;0;0;78;0,866666666666667;12;0,133333333333333;0;0;0;0;0,902965369349342;0,0970346306506577;0;0
"Géfosse";2012-06-07;9;32;3,55555555555556;0,888888888888889;0,156319276046908;5;-0,0078125;7,11111111111111;-0,296296296296296;0,791670666598519;0,9;1,71875;0,19275458964515;2;8;0,888888888888889;0;0;1;0,111111111111111;27;0,84375;0;0;0;0;5;0,15625;0,9264617321104;0;0;0,0735382678895997
